Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
03/18/2022,Ages_16-17_yrs,6017844,2.4,2.4,5161182,71.7,61.5,2.4,2.4,27.7,1.5,2.5,4,1431723,31091
03/18/2022,Race_eth_known,189538256,99.9,74.4,168507999,,,99.9,77.7,53.2,99.9,99.9,99.9,86104036,697743
03/18/2022,Ages_12-15_yrs,11228749,4.4,4.4,9554966,66.4,56.5,4.4,4.4,19.9,2,4.6,8.4,1899583,65628
03/18/2022,Sex_unknown,2263881,0.9,0.9,1531519,,,0.7,0.7,11.8,0.2,0.7,0.2,178914,1187
03/18/2022,Race_eth_NHBlack,19452788,10.3,7.6,16966710,47.2,41.2,10.1,7.8,43,8.2,10.1,13.9,7052077,96904
03/18/2022,Sex_Male,120765180,47.8,47.4,102505643,73.9,62.7,47.6,47.2,44.2,45.2,47.5,44.4,43541579,347610
03/18/2022,Race_eth_Hispanic,39195501,20.7,15.4,33369602,61.5,52.3,19.8,15.4,40.2,14.8,19.6,26.6,12745831,185287
03/18/2022,Age_known,254844436,99.9,99.9,216946457,,,99.9,99.9,46.1,99.9,99.9,99.9,96419026,784629
03/18/2022,Ages_75+_yrs,22700937,8.9,8.9,19604525,95,85.6,9,9,69.2,14.1,9.4,6.1,13560761,47884
03/18/2022,Sex_known,252606153,99.9,99.1,215420828,,,99.9,99.3,46.4,99.9,99.9,99.9,96240112,783442
03/18/2022,Ages_40-49_yrs,35062608,13.8,13.8,30151289,86,73.9,13.9,13.9,42.4,13.3,14.4,14.7,12789289,115066
03/18/2022,Ages_<5yrs,54052,0,0,23700,0.3,0.1,0,0,0,0,0,0,0,0
03/18/2022,Age_unknown,25598,0,0,5890,,,0,0,0,0,0,0,0,0
03/18/2022,Ages_18-24_yrs,23583790,9.3,9.3,19134863,77.1,62.6,8.8,8.8,29.8,5.9,9.1,11.1,5704515,87231
03/18/2022,Race_eth_NHAIAN,1736625,0.9,0.7,1439872,71.3,59.1,0.9,0.7,43.7,0.7,0.8,1.2,594806,8117
03/18/2022,Ages_65-74_yrs,33502705,13.1,13.1,29115903,95,91.3,13.4,13.4,65.4,19.7,13.9,9.6,19039969,75506
03/18/2022,Ages_50-64_yrs,58790514,23.1,23.1,51167076,92.4,80.4,23.6,23.6,51.5,27.3,24.5,23.1,26369255,181375
03/18/2022,Ages_12-17_yrs,17246593,6.8,6.8,14716148,68.2,58.2,6.8,6.8,22.6,3.5,7,12.3,3331306,96719
03/18/2022,Race_eth_NHMult_Oth,11304694,6,4.4,10060985,95,95,6,4.6,54.2,6,5.9,6.6,5175671,45857
03/18/2022,Race_eth_NHAsian,12648814,6.7,5,11438566,66.6,60.2,6.8,5.3,67,8.3,6.6,8.6,7168570,59658
03/18/2022,Sex_Female,131840973,52.2,51.7,112915185,78.2,67,52.4,52,48.3,54.8,52.5,55.6,52698533,435832
03/18/2022,Ages_25-39_yrs,54150238,21.2,21.2,45255560,79.2,66.2,20.9,20.9,34.5,16.2,21.6,23,15623931,180848
03/18/2022,Race_eth_unknown,65331730,34.5,25.6,48444246,,,28.7,22.3,21.8,12,29.2,12.5,10314990,86886
03/18/2022,Race_eth_NHNHOPI,604842,0.3,0.2,545350,65.1,58.7,0.3,0.3,44.8,0.3,0.3,1,231062,7243
03/18/2022,US,254870034,,100,216952347,76.8,65.3,,100,46.1,,100,,96419026,784629
03/18/2022,Ages_<12yrs,9807051,3.8,3.8,7801093,20.2,16.1,3.6,3.6,0,0,0,0,0,0
03/18/2022,Ages_5-11_yrs,9747221,3.8,3.8,7775933,33.9,27.1,3.6,3.6,0,0,0,0,0,0
03/18/2022,Race_eth_NHWhite,104594992,55.2,41,94686914,53,48,56.2,43.6,58,61.7,56.6,42.2,53136019,294677
03/17/2022,Ages_12-17_yrs,17246593,6.8,6.8,14716148,68.2,58.2,6.8,6.8,22.6,3.5,7,12.9,3331306,110799
03/17/2022,Ages_<5yrs,54052,0,0,23700,0.3,0.1,0,0,0,0,0,0,0,0
03/17/2022,Sex_Female,131840972,52.2,51.7,112915185,78.2,67,52.4,52,48.3,54.8,52.5,55.6,52698533,476432
03/17/2022,Race_eth_NHWhite,104594992,55.2,41,94686914,53,48,56.2,43.6,58,61.7,56.6,41.9,53136019,319880
03/17/2022,Ages_65-74_yrs,33502705,13.1,13.1,29115903,95,91.3,13.4,13.4,65.4,19.7,13.9,9.3,19039969,80035
03/17/2022,Ages_<12yrs,9807051,3.8,3.8,7801093,20.2,16.1,3.6,3.6,0,0,0,0,0,0
03/17/2022,Race_eth_unknown,65331730,34.5,25.6,48444246,,,28.7,22.3,21.8,12,29.2,12.4,10314990,94522
03/17/2022,Age_known,254844434,99.9,99.9,216946457,,,99.9,99.9,46.1,99.9,99.9,99.9,96419026,857840
03/17/2022,Ages_16-17_yrs,6017844,2.4,2.4,5161182,71.7,61.5,2.4,2.4,27.7,1.5,2.5,4.1,1431723,35240
